2023-06-08 13:25:21.346 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `draft`.`album` SET `id`='None', `666`='12ddd', `123`=null, `title`='456', `genre`='None', `score`=5.0 WHERE `artist`='123'
2023-06-08 13:25:37.347 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:25:37.349 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:25:37 -------------
2023-06-08 13:26:19.042 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:26:19.044 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:26:19 -------------
2023-06-08 13:26:21.931 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `tafang`.`info`
2023-06-08 13:26:21.932 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `tafang`.`info`
2023-06-08 13:26:35.737 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `tafang`.`info` SET `name`='实-起许劭', `adv-desc`='null', `disadv-desc`='null', `atk`=null, `sup`=null, `func`=null, `minNum`=3, `allScore`=0 WHERE `id`=172
2023-06-08 13:27:17.647 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `tafang`.`info` SET `name`='实-起许劭', `adv-desc`='null', `disadv-desc`='伪三血无防; ', `atk`=null, `sup`=null, `func`=null, `minNum`=3, `allScore`=0 WHERE `id`=172
2023-06-08 13:27:25.388 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `tafang`.`info` SET `name`='2轮-实-起许劭', `adv-desc`='null', `disadv-desc`='伪三血无防; ', `atk`=null, `sup`=null, `func`=null, `minNum`=3, `allScore`=0 WHERE `id`=172
2023-06-08 13:27:59.369 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `tafang`.`info` SET `name`='2轮-实-起许劭', `adv-desc`='开局8访客; 可多次用相同技能; 灵活', `disadv-desc`='伪三血无防; ', `atk`=null, `sup`=null, `func`=null, `minNum`=3, `allScore`=0 WHERE `id`=172
